
Sl.No.,Date Of Outage,Circle,Division,Sub Division,Section,Voltage,Name of Town,Name Of Sub-Station,Name of Feeder,Area Affected,From (HH:MM),To (HH:MM),Maintenance Type
1,28/JAN/2024,HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY,11,-,33/11 KV Cherlapally-II SS,11 KV NAVODAYA CLY (NEW) FEEDER,,10:00:00,13:00:00,Maintenance work
2,28/JAN/2024,HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY,11,-,33/11 KV Cherlapally-II SS,11 KV SAVAN ELECTRONICS (NEW) FEEDER,,10:00:00,13:00:00,Maintenance work
3,28/JAN/2024,HYDERABAD SOUTH,CITY 3  CHARMINAR,CHARMINAR,CHARMINAR,11,-,33/11 KV Salarjung Museum SS,11 KV PATTAR GATTI FEEDER,,10:00:00,12:00:00,maintenance work
4,28/JAN/2024,CYBERCITY,KONDAPUR,KPHB,BALAJINAGAR,11,-,33/11 KV Khaitalapur SS,11 KV MAHENDRA LIFE SPACE FEEDER,"Mahindra Appartments, main road new 7th phase",14:30:00,16:30:00,Tree Trimming
5,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV Ibrahimbagh SS,11 KV PEDDA MANGALARAM FEEDER,,10:00:00,13:00:00,Maintenance work
6,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV Ibrahimbagh SS,11 KV MILITARY-II FEEDER,,10:00:00,13:00:00,Maintenance work
7,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV Ibrahimbagh SS,11 KV SAI RAM NAGAR(IBRAHIMBAGH) FEEDER,,10:00:00,13:00:00,Maintenance Work
8,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV Ibrahimbagh SS,11 KV MADHAVI NAGAR,,10:00:00,13:00:00,Maintenance Work
9,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV KISMATHPUR SS,11 KV ROCK CHURCH FEEDER,,14:30:00,17:30:00,Maintenance work
10,28/JAN/2024,RAJENDRANAGAR,RAJENDRANAGAR,RAJENDRANAGAR,HIMAYATHSAGAR,11,-,33/11 KV KISMATHPUR SS,11 KV KISMATHPUR FEEDER,,10:30:00,13:30:00,Maintenance work
